Gene;(Intercept);Selection;WNL-NL;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117900545;0;8.43E-84;8410.635248;59056.53798;40022.45327;50147.81186;67883.73852;47570.26336;59004.70697;58152.90295;49742.2677;1.169084275;51374.36331;67115.21583;45001.66073;46854.88238;44955.36377;46509.77236;46106.67284;54497.07996;0.846039327
gene-LOC117894332;0;4.91E-55;1342.174808;8173.364725;5363.747015;8488.714617;9841.21275;6393.84324;9817.29479;8684.116927;7341.942119;1.182809233;4793.313402;6874.334775;4650.493411;6018.653138;6233.167751;5704.594518;5985.471802;5439.380529;1.100395858
gene-LOC117900897;0;1.74E-54;1108.737936;7312.394023;6378.408677;7499.544796;8478.38596;7232.365783;8805.80956;8172.187101;7063.449165;1.156968346;8054.506463;7978.74593;7028.147812;7594.23376;7131.991485;6971.911953;7232.712399;7687.133402;0.940885506
gene-LOC117890421;0;6.06E-51;-1100.956855;7614.026616;9619.142463;8581.656748;6757.483111;8376.51804;7377.954112;7503.985088;8604.941942;0.872055284;8605.489804;6983.276689;9628.305061;9450.241797;8341.764756;9379.92615;9057.310901;8405.690518;1.077521339
gene-LOC117899139;0;3.83E-44;1039.02644;7699.928455;6804.697741;8912.486476;8554.276707;7750.456036;10229.45925;8844.730664;7805.704224;1.133111172;6296.434621;7977.746463;5557.054602;5997.580557;6719.912465;5990.046386;6235.846469;6610.411895;0.943337052
gene-LOC117902130;0;3.70E-37;4454.127857;10649.87569;16320.78131;14354.02695;13365.3225;22444.1922;18877.55282;18229.02251;13774.89465;1.323351138;13218.76698;17045.91154;7087.910974;6577.887;15578.66627;8355.853692;10170.80232;12450.86317;0.816875279
gene-LOC117897734;0;4.82E-36;699.1435403;4508.870377;3672.644244;4740.048673;5308.076737;4332.801847;5378.115332;5006.331305;4307.187765;1.162320191;4815.062745;4522.588667;3934.254904;4668.387028;3757.858222;4398.402316;4274.882522;4423.968772;0.966300339
gene-LOC117890935;0;1.38E-32;349.5677897;924.4209238;1099.919475;1318.893095;1189.667621;1435.85013;1766.419112;1463.978954;1114.411165;1.313679368;1597.368369;2284.781811;2198.364916;1527.762074;2119.93863;3050.003222;2232.567975;2026.838365;1.101502722
gene-LOC117892116;0;2.42E-31;476.1517578;2308.611916;1983.415272;2493.947178;2779.097768;2389.310343;3046.021528;2738.143213;2261.991455;1.21050113;2554.339434;3417.178045;2518.327689;2649.471735;2482.870611;2641.262805;2591.201717;2829.948389;0.91563568
gene-LOC117893575;0;4.18E-29;-590.2719497;4132.073675;5241.01324;3995.405172;3629.929239;4453.834696;3513.912305;3865.89208;4456.164029;0.867538101;4847.686758;3563.100243;5143.309636;5631.241853;5145.316942;5754.576363;5510.378386;4518.032213;1.219641235
gene-LOC117893872;0;3.50E-28;-542.4529486;3237.913626;4820.345571;3662.362537;2771.615582;4116.858346;3204.78896;3364.420963;3906.873911;0.861154222;3531.851544;2776.519628;3330.187255;4170.749939;3532.916005;3786.402397;3830.02278;3212.852809;1.19209407
gene-LOC117891585;0;3.86E-28;-950.1430257;11078.40873;11866.76326;12037.1124;9988.718709;11040.9822;11102.15441;10710.61844;11660.76146;0.918517926;11963.34661;11158.0508;12846.32146;12946.66917;13529.61279;13834.97456;13437.0855;11989.23962;1.120762111
gene-LOC117902692;0;1.62E-27;-642.0950205;4457.134042;5774.108795;4064.005317;3818.05278;4906.619455;3644.290858;4122.987697;4765.082718;0.865249974;4674.900316;3874.933981;4711.176006;5552.624919;5073.486654;4730.503905;5118.871826;4420.336768;1.158027566
gene-LOC117891359;0;7.23E-27;-545.0110118;3591.282554;4785.680306;4027.492337;3188.480247;4098.572808;3482.369106;3589.807387;4134.818399;0.868189855;5550.915496;4743.470899;2100.904991;2713.49996;5874.016311;6275.498253;4954.338175;4131.763795;1.199085529
gene-LOC117897149;0;1.36E-26;326.0895726;1339.287759;848.830532;999.1279066;1764.727083;1173.757413;1227.030419;1388.504972;1062.415399;1.306932272;1761.696733;1595.149506;695.0915418;931.2459541;1443.221707;843.0271105;1072.498257;1350.645927;0.794063222
gene-LOC117895118;0;3.04E-26;2173.673645;21247.03889;16337.64549;20168.44239;24132.18858;17788.34585;22353.61328;21424.7159;19251.04226;1.112911998;27520.1679;32157.85423;23075.93587;24682.47544;25731.31039;20578.08073;23663.95552;27584.65266;0.857866721
gene-LOC117893073;8.12E-152;4.95E-26;196.085885;221.5876977;384.1286072;633.9981068;364.4893611;522.4439526;941.038753;609.3240222;413.2381372;1.474510621;457.9444869;528.7181006;296.9769418;355.8024141;723.9736917;687.5280387;589.1013815;427.8798431;1.376791618
gene-LOC117896072;0;7.63E-26;-414.8915218;2069.453388;2675.783664;2112.220569;1617.221124;2193.393861;1802.16807;1870.927685;2285.819207;0.818493291;2374.30321;1944.962994;2697.617174;2770.23383;2423.327083;2709.015972;2634.192295;2338.961126;1.126223205
gene-LOC117894087;0;8.25E-26;191.638109;266.4909316;417.8569727;506.7559039;395.4869901;646.0890213;724.4421238;588.6727118;397.0346027;1.48267357;398.7379437;536.7138374;308.0101409;574.6330561;466.8968717;456.5008464;499.3435914;414.4873074;1.204725893
gene-LOC117889639;0;1.82E-25;20184.30096;128630.1943;117167.6573;167065.6931;143669.7347;138406.7227;191339.9902;157805.4825;137621.1815;1.146665657;70722.81995;109585.5717;82096.19546;69297.99092;107747.3222;90513.78826;89186.36713;87468.1957;1.019643385
gene-LOC117901354;1.49E-126;5.19E-25;310.4208553;536.8864922;1359.44051;1684.022895;639.1924867;1737.996882;2134.423093;1503.870821;1193.449966;1.260103787;1133.382398;1484.208657;1096.883875;736.7298279;1550.967139;1280.645927;1189.447631;1238.15831;0.960658764
gene-LOC117898257;0;1.17E-24;525.4212354;3124.679384;3864.708548;4026.385883;3520.903095;4441.644337;4629.490089;4197.34584;3671.924605;1.14309151;3953.547127;3984.875363;4894.143224;3771.181396;4696.377643;4781.596457;4416.385165;4277.521905;1.032463483
gene-LOC117894289;0;3.29E-24;-510.6440778;3420.455034;4690.116604;4026.385883;2935.154797;4085.511709;3584.358781;3535.008429;4045.652507;0.873779551;3702.221393;3109.342176;3910.349639;3871.681395;4033.83775;4297.327919;4067.615688;3573.971069;1.138122164
gene-LOC117901825;0;4.04E-24;598.6150557;2447.226247;2388.155658;2774.986478;2879.572841;3073.711921;3452.928788;3135.404517;2536.789461;1.235973487;2220.849517;3001.399728;2919.200589;2113.741905;2778.697981;2858.961505;2583.800464;2713.816611;0.952091034
gene-LOC117893414;0;9.95E-24;-524.3618108;4390.755349;4370.63403;4277.550927;3765.677476;3863.473029;3836.704368;3821.951624;4346.313435;0.87935481;4341.4104;4093.817278;4555.791785;4492.512031;4406.221085;4717.175413;4538.636176;4330.339821;1.048101619
gene-LOC117897786;0;1.91E-23;-624.0148454;6226.907152;6206.019254;5895.186585;5684.323819;5574.476974;5197.267661;5485.356151;6109.370997;0.897859396;8829.024712;9127.133638;12726.79514;10376.62485;8551.584808;10449.53762;9792.582426;10227.65116;0.95746152
gene-LOC117900392;1.59E-290;1.14E-22;453.1283305;949.8010125;916.287263;1827.861907;1221.734134;1205.104051;2626.496989;1684.445058;1231.316727;1.368003066;836.141385;762.593404;1205.376999;775.6330532;723.9736917;1668.282898;1055.963214;934.7039294;1.129730154
gene-LOC117894730;3.31E-255;3.51E-22;402.8644473;1326.597714;2200.775849;3639.127004;1641.805451;2564.329067;4168.959392;2791.69797;2388.833523;1.16864484;1344.834338;1818.030671;1445.349079;1188.979821;1632.24878;1981.502457;1600.910353;1536.071363;1.042210923
gene-LOC117902795;0;5.76E-22;-206.9122198;1660.443497;1767.928492;1624.274382;1501.781679;1490.706745;1439.421288;1477.303237;1684.215457;0.877146229;1754.446952;1573.161229;2100.904991;1838.177392;2066.065914;2133.669406;2012.637571;1809.504391;1.112259015
gene-LOC117895203;0;7.46E-22;2860.915975;11698.26859;7922.418298;9595.168556;14621.26091;11022.69666;12154.64579;12599.53445;9738.61848;1.293770208;9299.052167;12194.49819;9738.637052;11669.3466;11671.47666;11874.57554;11738.46627;10410.72914;1.12753546
gene-LOC117900974;0;8.59E-22;747.4676003;2833.784521;2968.096165;3942.295383;3435.392395;3856.50711;4694.679366;3995.52629;3248.05869;1.230127492;2228.099298;3391.1919;1980.459234;1989.737874;2680.403903;2682.358988;2450.833588;2533.250144;0.967466081
gene-LOC117900055;0;5.18E-21;393.3414974;2656.1239;1949.686906;2659.915268;3046.318707;2217.774579;3181.657281;2815.250189;2421.908692;1.162409714;2557.964324;2520.656048;2071.483127;2638.935445;2198.384865;1968.173965;2268.498092;2383.367833;0.951803604
gene-LOC117892552;7.24E-06;3.31E-20;-89.27714931;152.2805323;13.11658659;144.945466;27.79097768;0;14.72015927;14.17037898;103.4475283;0.13698132;160.7034743;0;92.8627589;89.1532245;0;0;29.7177415;84.52207773;0.351597385
gene-LOC117890416;0;9.96E-20;-311.3092505;2162.188327;2047.124407;1522.48062;1849.1689;1715.357644;1233.339058;1599.288534;1910.597785;0.837061859;2596.629821;2368.737048;2991.835816;2448.471738;2553.755764;2616.827236;2539.684913;2652.400895;0.957504168
gene-LOC117899559;0;4.56E-19;4335.270367;23428.75036;29261.23088;31386.77888;27624.23181;34563.15042;34895.18898;32360.85707;28025.5867;1.154689727;23810.69673;33997.87317;26430.02839;24329.91497;29851.15546;26086.08;26755.71681;28079.53276;0.952854773
gene-LOC117895830;0;8.04E-19;149.362021;276.2525041;351.3371407;413.813773;397.6247576;539.858751;552.0059724;496.4964937;347.1344726;1.430271358;275.4916702;477.745278;395.3563003;240.7137062;321.346025;356.5371574;306.1989629;382.8644162;0.799758217
gene-LOC117891218;0;1.98E-18;499.1041554;3853.868856;4778.185114;5219.143229;4309.739308;5189.609929;5849.160428;5116.169888;4617.065733;1.108099859;4541.987668;5180.238025;4585.21365;4298.806389;5076.32206;4832.689009;4735.939153;4769.146448;0.993037057
gene-LOC117890310;0;2.78E-18;-1938.963108;16800.64258;13550.37084;10816.6937;14687.5317;11144.60025;9518.685845;11783.60593;13722.56904;0.858702616;14715.84672;12060.5696;16327.29577;16525.76589;13698.79202;15096.73845;15107.09879;14367.90403;1.05144764
gene-LOC117895547;0;3.28E-18;214.6915149;1112.819275;588.3725983;702.598251;1355.344604;746.2241123;946.2959528;1015.95489;801.2633747;1.267941256;1016.177608;1388.259814;967.2437857;1099.016113;895.0431933;827.4772033;940.5121698;1123.893736;0.836833715
gene-LOC117899212;0;4.33E-18;-212.0985395;689.1670245;970.6274074;1338.809266;523.7530409;736.6459731;1101.909065;787.4360263;999.5345659;0.787802697;1083.842229;1278.318432;1154.80817;563.2862821;979.160241;1155.135962;899.1941616;1172.322944;0.767019162
gene-LOC117895130;0;4.82E-18;449.3629953;3803.108679;3171.403257;3943.401837;4325.772564;3644.046569;4296.183626;4088.667586;3639.304591;1.123474962;4227.8305;5385.128782;3585.7897;4027.294296;4106.613173;3916.355193;4016.754221;4399.582994;0.912985214
gene-LOC117890275;0;7.01E-18;-352.5012512;2476.510965;2940.926093;2633.360374;2219.002679;2534.72391;2239.567088;2331.097893;2683.599144;0.868646086;2690.876972;2071.895317;2589.12405;2722.415283;2860.924758;2800.093999;2794.478013;2450.632113;1.140309065
gene-LOC117893541;2.00E-97;7.07E-18;-3.12601172;25.38008872;7.495192335;21.02262483;14.9643726;9.57813913;19.977359;14.83995691;17.96596863;0.826003719;16.91615519;17.99040796;11.03319908;10.53629017;10.39648905;8.885661244;9.939480153;15.31325407;0.649076944
gene-LOC117901706;0;9.36E-18;-729.7044306;9223.709935;9438.320948;9783.265725;8530.761264;8875.452014;8849.970038;8752.061106;9481.765536;0.923041291;10387.72758;8793.311624;10479.70026;11860.62079;11418.18038;11609.11641;11629.30586;9886.913154;1.176232225
gene-LOC117897092;0;1.03E-17;-150.0502569;575.9327825;531.2217568;484.6268251;422.209084;353.5204079;365.9011017;380.5435312;530.5937881;0.717203141;886.8898506;807.5694239;888.1725257;798.3266012;654.0336745;843.0271105;765.1291287;860.8772667;0.88877841
