Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;WPT-PT;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;WPT23-PT23;meanWPT23DIVmeanPT23
gene-LOC117890411;1;0;1513.705538;1353.090387;1614.837237;1444.483462;1509.375257;1372.632965;1442.163895;1493.877721;44.04860609;0.965382825;1620.591768;1685.547561;1626.193622;1704.408458;1710.821801;1649.248511;1688.15959;1644.110984;44.04860609;1.026791747
gene-LOC117898680;0;5.53E-177;17283.5875;18174.39293;11166.38531;15404.58484;14208.56775;16398.85954;15337.33738;15541.45525;2676.211168;0.986866232;10723.56082;14815.4466;10369.5984;13275.77069;18100.43078;12561.03786;14645.74644;11969.53527;2676.211168;1.223585219
gene-LOC117889870;1;1.75E-127;23442.90416;20033.45775;25500.68082;20141.79966;23721.77062;20990.58177;21618.05069;22992.34758;1044.480534;0.940228074;25585.43822;24713.93029;24602.02905;26811.98455;25899.73415;25323.12047;26011.61306;24967.13252;1044.480534;1.041834221
gene-LOC117891524;0;4.51E-119;36512.53076;32419.92048;35633.01243;30715.24587;36279.9079;34783.41295;33926.18891;34855.15455;5820.303554;0.973347826;25334.32947;30175.52695;28373.24475;30711.8009;35808.02195;34824.18899;33781.33728;27961.03372;5820.303554;1.208157667
gene-LOC117891043;0;1.13E-84;19908.64588;16455.12311;17761.21722;17788.30643;19632.01405;18767.97624;18729.43224;18041.66207;1939.531681;1.03812122;12281.09884;15831.93977;13437.75673;14041.7298;18073.81563;15253.84496;15789.79679;13850.26511;1939.531681;1.140035708
gene-LOC117890854;1;4.07E-66;3219.798168;2756.256594;3234.655466;2666.572609;3269.609189;2834.627349;2923.603049;3070.236742;-39.63902843;0.952240265;4087.431114;3996.71967;3903.661359;4082.553525;4042.308885;3744.032647;3956.298353;3995.937381;-39.63902843;0.990080168
gene-LOC117898142;0;4.46E-54;7798.024984;6232.3531;5625.531079;5239.221406;5932.765421;5855.251141;5675.745989;6551.969721;-711.8771974;0.866265601;3384.990314;4127.00921;3027.329217;2688.969055;3318.376823;2396.351271;2801.232383;3513.10958;-711.8771974;0.797365502
gene-LOC117902370;0;5.82E-52;20821.75212;13104.21615;15439.07928;19720.76188;16890.30611;14854.77734;17155.28178;16455.01585;2195.552122;1.042556381;23658.4274;15857.76292;16693.13147;26674.50471;17828.95626;18292.51719;20931.99272;18736.4406;2195.552122;1.117180855
gene-LOC117895158;0;6.70E-51;15049.16281;14435.39837;12570.02854;15418.61943;12287.85184;15733.84433;14480.1052;14018.19657;1295.664823;1.032950646;11718.04;11164.99192;8684.650692;12952.99193;12683.71558;9817.96957;11818.22569;10522.56087;1295.664823;1.123132082
gene-LOC117901476;0;5.57E-50;7274.575843;9246.291517;9124.179061;7228.894814;8868.741019;9692.596743;8596.744192;8548.348807;-920.4449587;1.005661372;6430.37539;5232.70963;6933.978072;5477.84582;4407.468735;5950.413661;5278.576072;6199.021031;-920.4449587;0.851517691
