Gene;(Intercept);Generation ;Selection;Generation:Selection;meanWPT9DIVmeanPT9;meanWPT23DIVmeanPT23;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;C_PT1_G9_C;W_PT1_G9_C;W_PT2_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT3_G9_C;meanWPT9;meanPT9
gene-LOC117902286;1;1.06E-27;2.18E-07;0;1.153741722;1.269208409;142.2433038;177.1970203;209.0781906;189.7407816;259.5674836;221.4918781;151.8937414;151.4981523;208.1551243;171.4418152;168.0255082;207.2504844;188.9679203;163.7870216
gene-LOC117903562;0;2.84E-19;0.498872057;3.13E-14;1.258253979;0.824985559;1241.491189;1075.364417;1252.585556;1003.144301;950.0771215;991.5159888;816.9420147;1051.4424;911.0165831;734.7506365;702.7481947;874.2001815;945.553055;751.480282
gene-LOC117903409;0;0.000297125;0.790497016;2.96E-11;0.868820708;1.138178458;2095.996918;2171.770981;2397.806636;2470.633131;2571.622251;2544.357965;2242.485304;1959.300731;2094.166705;2543.795764;2302.689197;2105.57673;2053.014722;2362.990089
gene-LOC117896300;0;1.88E-11;0.30246163;6.13E-11;0.805532748;1.346082607;152.7023703;239.2159775;257.1096668;224.1663243;297.6507437;351.8282541;168.3146864;120.9724052;210.8584376;222.651708;253.6234086;187.4073529;173.0793986;214.8632677
gene-LOC117894537;0;1.34E-08;0.171909979;1.36E-10;0.791704154;1.16096662;372.3427659;542.6658748;584.8538575;458.7403707;589.2883412;693.2615825;572.6804575;508.7624519;529.8494074;723.6180511;849.6384189;660.3353199;566.3157264;715.3123092
gene-LOC117896282;0;1.27E-06;1.32E-12;3.31E-10;0.980597035;0.723281478;886.9288357;675.5636401;580.1448892;628.4663019;491.0736176;430.1900016;698.9164724;654.607688;528.9483029;482.0409479;455.4653713;421.1153459;534.8904456;545.4742639
gene-LOC117893817;0;4.22E-39;0.002757678;2.42E-08;1.050393213;0.849584855;5543.305223;5091.091891;5714.803876;4687.477959;4504.848798;4697.706802;3669.054903;3937.821377;4097.321863;3994.371642;3802.237601;4008.31256;4014.485267;3821.888049
gene-LOC117901579;0;4.91E-06;0.67995913;1.66E-07;1.113423109;0.912383549;1200.700829;1077.57938;1083.062699;1055.182912;1059.315947;952.3351151;961.6515927;1044.658901;1096.644097;971.8747056;855.9790041;964.5966693;1035.299889;929.8351008
gene-LOC117894864;0;1.35E-56;4.74E-08;3.57E-07;1.003464917;1.102147239;6467.886698;6258.377262;6309.075671;7291.009696;6737.730472;6951.006847;5995.69755;5964.957102;5412.033232;5495.044154;5754.081083;5927.584333;5768.191556;5748.274262
gene-LOC117894353;0;0.59908828;0.009202317;3.70E-07;0.719700765;1.110135502;538.6419226;493.9366942;526.4626511;590.0377892;548.1985078;592.5107643;785.1264337;491.8037035;440.6400684;544.3834261;569.5959052;434.3441003;455.5959574;633.035255
gene-LOC117897528;0;6.60E-11;0.287225752;4.53E-07;1.081271988;0.886996851;2286.351928;2336.785706;2510.821875;2177.615721;2097.585881;2052.598019;1790.909316;2079.142553;2071.639094;2001.638855;1891.607923;1995.33711;2048.706253;1894.718698
gene-LOC117893236;0;5.94E-24;0.106194586;4.82E-07;0.948272599;1.108804962;1320.980094;1271.388621;1258.236318;1437.066257;1453.177032;1379.326678;1746.778026;1640.476261;1465.19581;1554.108922;1570.351605;1513.589974;1539.754015;1623.746185
gene-LOC117894853;0;5.97E-05;0.538947114;5.08E-07;0.769192265;1.23467968;402.6740586;338.8893014;358.8233812;405.1005717;444.972829;508.5517491;523.4176225;385.5288802;382.9693846;551.0629774;613.9800017;530.2525691;432.9169446;562.8202005
gene-LOC117893323;0;1.24E-163;0.000567057;6.55E-07;0.973799431;1.159158297;1972.579934;2140.761502;2200.02997;2408.186798;2470.400954;2439.609098;3589.002796;3487.849253;3463.845445;3810.683983;3726.150578;3882.639394;3611.444697;3708.612452
gene-LOC117897643;0;0.000785789;0.713839461;6.90E-07;0.928240247;1.090182856;1195.471296;1230.41181;1131.094175;1312.173591;1358.971072;1206.61099;1392.701399;1234.596883;1330.931249;1389.346658;1288.195563;1212.635813;1259.387982;1356.747874
gene-LOC117896928;4.62E-45;0.041835528;0.008363347;6.97E-07;0.853289423;1.737217837;25.1017595;96.35087981;50.85685717;48.03564091;159.348378;91.95511187;35.92081723;30.52574711;93.71486117;132.4777663;44.38409651;57.32460206;60.52173678;70.92756001
gene-LOC117891514;0;1.76E-05;2.65E-05;7.29E-07;0.973511747;1.454810543;2192.22033;1938.09241;2344.124398;2684.391733;3281.173519;3453.514158;2143.959634;2087.056636;1862.582866;2183.099997;2316.427132;2517.872906;2155.837469;2214.495588
gene-LOC117900322;0;1.30E-08;0.498130581;7.55E-07;0.892701329;1.089980836;5769.221058;5940.530107;6427.741671;6920.334667;6377.943883;6471.241046;6101.407384;5270.779001;5518.363556;5736.621258;6030.953304;5162.521374;5317.22131;5956.327315
gene-LOC117892932;0;1.17E-07;0.068609995;7.58E-07;1.058665974;0.883862684;1793.729898;1707.736284;1644.371715;1520.328035;1482.240572;1545.645489;1360.885818;1440.36303;1550.800731;1490.653185;1417.120796;1527.921124;1506.361629;1422.8866
gene-LOC117902068;0;0.025249398;0.759872637;1.32E-06;0.765598261;1.354068709;94.13159813;81.95362191;58.39120638;110.4819741;118.2585447;88.75667319;110.8413789;92.70782456;113.5391587;141.3838346;103.5628919;66.14377161;90.7969183;118.5960351
gene-LOC117893735;0;1.18E-14;0.132217214;1.75E-06;0.928376161;1.158696826;2671.245573;2887.20395;2759.455399;2910.959839;3385.401389;3341.568804;3425.819655;2993.784383;3517.010607;3992.145125;3706.072058;3816.495622;3442.430204;3708.012279
gene-LOC117901166;2.68E-25;6.89E-05;0.053320244;1.83E-06;1.47334348;0.4004537;47.06579906;15.50473928;9.417936514;16.81247432;8.017528451;3.998048342;30.78927191;53.13741164;18.92319312;21.15191226;12.68117043;23.15032006;31.73697494;21.54078487
gene-LOC117903588;0;0.004739334;0.708290122;2.06E-06;0.928674509;1.090969607;2100.180545;2057.700399;1944.80389;2320.121456;2333.100779;2004.621439;2269.16934;1947.994899;2085.155661;2111.851451;1926.481141;1824.4657;1952.538753;2102.500644
gene-LOC117890238;0;0.038347077;0.348186644;2.42E-06;1.089970438;0.87684188;2434.870672;2251.50964;2184.019478;2072.737905;1961.287897;1990.228465;2403.615827;2578.860339;2328.453858;2208.704944;1865.188818;2152.979766;2353.431321;2159.169863
gene-LOC117893244;0;0.000442821;0.442048895;3.06E-06;0.819201118;1.14554457;562.6977755;572.567872;744.0169846;683.707289;677.4811541;791.6135717;606.5486566;461.2779563;547.871496;545.4966847;810.5381434;598.6011331;535.9168618;654.1944949
gene-LOC117892918;0;0.130337718;4.13E-09;3.11E-06;1.681928832;1.05301589;617.084921;676.6711214;879.6352704;653.2847164;870.904028;764.426843;537.7859494;802.7140907;1023.654637;598.9330946;723.8834788;1303.032301;1043.133676;620.2008409
gene-LOC117894625;0;3.33E-13;0.001612724;3.24E-06;1.038986566;0.814542263;1174.553163;975.6910933;1142.395699;959.1116302;868.8996459;853.9831259;877.4942495;820.8034223;822.7083485;742.5434463;788.3460951;858.7666348;834.0928019;802.794597
gene-LOC117890646;0;1.05E-31;0.679383089;3.35E-06;0.903248431;1.123707289;24045.39379;21453.02176;26431.43883;29155.23225;22993.26941;28679.59998;38282.35438;33232.36335;28182.94229;28080.83342;38263.31825;33088.42175;31501.24246;34875.50202
gene-LOC117897969;0;1.59E-17;0.153918761;3.36E-06;0.807483688;1.55138884;231.1453687;229.2486451;174.2318255;445.1302724;330.7230486;208.6981235;201.1565765;143.5840697;167.6054248;162.5357469;126.8117043;84.8845069;132.0246671;163.5013426
gene-LOC117892290;0;1.34E-24;0.963189462;3.53E-06;1.088604511;0.920145559;2558.287656;2640.235603;2800.894319;2468.231349;2462.383426;2430.013782;2023.881474;2339.176695;2124.804256;2112.964709;1971.922002;2186.051652;2216.677534;2036.256062
gene-LOC117893766;0;5.00E-40;0.244204585;3.79E-06;1.059035239;0.909592301;5473.229478;5014.675676;5172.330733;5117.396945;4744.372461;4382.660592;4227.367033;4466.934327;4111.739534;3913.103769;3515.854502;3765.785397;4114.819753;3885.441768
gene-LOC117893412;4.59E-169;0.097010714;0.292888253;4.16E-06;0.61182569;2.186541829;9.413159813;9.967332394;14.12690477;16.81247432;30.06573169;26.38711906;21.55249034;14.69758194;15.31877538;21.15191226;36.98674709;18.74073529;16.25236421;26.56371656
gene-LOC117897864;0;5.22E-22;0.500686571;5.17E-06;0.836224802;1.151708933;4471.250911;5338.060238;5119.590289;4881.221711;5435.88429;6876.643148;7437.661785;6371.967064;6194.191881;7935.306874;9024.76629;7835.832144;6800.663696;8132.578316
gene-LOC117895394;0;1.37E-07;0.036255521;5.26E-06;1.041083583;0.896903795;1846.02523;1703.306358;1673.567318;1581.973774;1562.415857;1540.048221;1440.937925;1570.380101;1508.448823;1536.296785;1469.959006;1551.071444;1543.300123;1482.397906
gene-LOC117903900;0;0.114293578;0.000100322;8.78E-06;1.025532338;0.684619862;216.5026757;177.1970203;202.485635;143.3063287;143.3133211;121.5406696;193.972413;169.587484;167.6054248;160.3092298;169.0822724;199.533711;178.9088733;174.4546384
gene-LOC117897755;0;0.008444983;0.014606549;1.26E-05;1.033448363;0.890127139;1158.864564;1189.434999;1365.600794;1072.79598;1098.401398;1134.646119;1054.019408;1026.56957;1166.029138;1054.255838;1186.746199;1212.635813;1135.078173;1098.340482
gene-LOC117890120;0;5.44E-113;0.000154402;1.33E-05;1.162060415;0.989102349;7733.433739;7747.939715;6867.559306;7600.038986;7636.69585;6868.647052;4534.233443;5727.534625;5352.56034;5033.04186;4023.101319;4712.743727;5264.279564;4530.125541
gene-LOC117901258;0;1.61E-06;0.035871078;1.47E-05;0.862206603;1.502465699;1318.88828;1562.656223;1569.970017;2350.544029;2550.576239;1787.127609;2386.168573;2001.132311;2469.02615;3352.021464;2223.431882;2394.404532;2288.187664;2653.873973
gene-LOC117899656;0;1.06E-78;0.422920324;1.78E-05;1.104272969;0.934729772;2413.952539;2485.18821;2354.484128;2404.183828;2217.848808;2158.146495;1594.884285;1802.149663;1582.339387;1547.429371;1487.923997;1728.557231;1704.34876;1543.412551
gene-LOC117893877;0;5.71E-05;0.639506578;2.87E-05;1.1354394;0.852863964;3753.758952;2920.428392;3265.198589;2982.212707;2772.060462;2722.670921;2629.403821;3139.62962;2560.938802;2639.535999;2248.794223;2835.36301;2845.310477;2505.911348
gene-LOC117898354;0;0.181161408;0.032750501;3.07E-05;0.947504739;1.181982012;521.9074163;531.591061;568.8433654;641.2758062;645.4110403;630.8920284;542.9174947;550.5940312;583.9156734;565.5353384;640.3991068;522.5357957;552.3485001;582.9506466
