Gene;(Intercept);Selection;WNL-NL;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117903294;0;3.95071E-96;-1327.772254;6366.527834;6025.466866;6552.794682;5034.7724;4701.125027;5296.061338;5418.949629;4824.685629;3665.531916;5718.764124;3579.612856;3821.192454;4373.189812;4636.389058;0.943231846;5010.652922;6314.929794;0.793461382
gene-LOC117900656;0;6.8208E-73;-1192.781492;6006.245207;4993.051042;5774.857212;4844.107362;3927.01494;4486.100046;3690.179589;3171.554791;3557.618656;4132.463828;2616.117983;3226.536811;3325.039541;3473.117679;0.957364492;4419.074116;5591.384487;0.790336298
gene-LOC117902485;0;4.91538E-61;-1174.334676;7884.779545;7602.422013;7924.85685;6618.583573;6428.7566;6856.489344;5611.264956;5523.972851;5741.689193;6020.756184;5042.289834;6217.665853;5760.23729;5625.642333;1.02392526;6634.609839;7804.019469;0.850152907
gene-LOC117896512;0;6.70149E-57;-744.7094013;3749.011238;3283.562514;3408.81223;2929.101143;2659.295831;2660.555844;2641.750868;2469.296094;2362.362009;2868.363239;2153.640444;2368.581483;2463.528389;2491.136324;0.988917533;2749.650939;3480.461994;0.790024699
gene-LOC117900008;1;7.27304E-55;-557.1387967;4506.410499;4287.166734;4589.221269;3883.185955;3863.264697;3957.955182;3863.883755;3630.152501;3403.959558;4019.076475;3322.68089;3172.984333;3504.913899;3632.665272;0.964832606;3901.468611;4460.932834;0.874585822
gene-LOC117896074;0;1.75357E-54;4488.047509;32044.43471;30681.47752;31802.22317;36463.35919;34861.36477;35252.10399;46006.78929;42298.95295;34703.49673;42660.58829;45576.97794;40232.41492;42823.32705;41003.07965;1.044392943;35525.60932;31509.37847;1.127461443
gene-LOC117900199;0;3.0209E-49;-589.8235362;2708.45055;2560.391244;2401.762156;2087.440337;1938.918091;1911.132895;1472.349603;1452.061;1631.601566;1507.715002;1177.298973;1570.872694;1418.62889;1518.670723;0.934125395;1979.163774;2556.867984;0.774057866
gene-LOC117894060;0;5.10835E-48;6401.252505;29794.10712;26417.36007;28320.23429;34609.12271;33108.2331;34371.16671;47112.08545;48304.30482;39285.11838;43392.55417;51673.60645;48366.81322;47810.99128;44900.50288;1.064820842;34029.5075;28177.23383;1.20769511
gene-LOC117897102;0;1.18514E-47;159.6741241;260.1401719;277.551789;217.7876457;432.2247277;428.0373427;343.3985377;283.3032242;462.5596775;438.6908597;280.661765;358.7871383;409.4533228;349.6340754;394.8512538;0.885483007;401.2202027;251.8265355;1.59324037
gene-LOC117894262;0;6.00471E-43;-684.587127;3740.953799;3615.856352;3949.796742;3121.285424;3016.297189;3142.775067;3122.539187;2445.524291;2566.458826;3607.065004;1960.023856;2662.004437;2743.031099;2711.507435;1.011625882;3093.45256;3768.868964;0.820790691
