Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;meanWPT9-meanPT9;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;meanWPT23-meanPT23;meanWPT23DIVmeanPT23;meanWPT23DIVmeanPT23.DIV.meanWPT9DIVmeanPT9
gene-LOC117893766;1;1.33E-109;4022.550396;3667.01057;3314.351319;4265.43659;3854.101454;3549.518704;3889.685583;3667.970762;221.7148212;1.06044618;5788.775919;5314.874204;5469.10923;5458.205842;5039.844684;4669.179281;5055.743269;5524.253118;-468.5098489;0.915190373;0.863023876
gene-LOC117895462;0;6.19E-64;6130.995723;9683.411696;10449.12263;7127.413913;11050.45131;12103.27689;10093.71404;8754.510016;1339.204022;1.152973041;7773.309456;3333.534174;10583.70228;4674.314578;6033.122058;10356.36061;7021.265749;7230.181969;-208.9162192;0.971104985;0.842261657
gene-LOC117896231;0;8.00E-62;3108.467567;2156.39;3015.491868;3967.471392;2703.699048;3892.417174;3521.195871;2760.116478;761.0793931;1.275741766;3040.960252;1987.208928;2094.234652;1788.945751;2041.914259;2018.96641;1949.94214;2374.134611;-424.1924709;0.82132754;0.643803912
gene-LOC117897170;0;2.87E-46;15206.39286;19842.54368;19929.94064;13694.5237;18363.36176;18284.80112;16780.89553;18326.29239;-1545.396865;0.91567324;17287.78713;16228.67729;19336.06954;16156.86995;16113.87603;17467.04105;16579.26234;17617.51132;-1038.248976;0.941067217;1.027732575
gene-LOC117892067;0;5.10E-38;5030.385309;6339.807464;6063.858275;4310.779121;5571.258644;5224.525774;5035.52118;5811.350349;-775.8291697;0.866497608;4699.163024;4886.444636;4468.298091;5365.983341;5254.89509;3983.412209;4868.09688;4684.63525;183.4616296;1.039162415;1.199267493
gene-LOC117899010;1;3.99E-31;191.4105068;170.0491388;150.425924;200.8026337;142.7444983;151.7065957;165.0845759;170.6285232;-5.543947318;0.967508672;130.5323062;163.1553698;119.4998375;147.7267852;155.4324723;128.6345688;143.9312754;137.7291712;6.20210423;1.045031159;1.080125884
gene-LOC117892918;0;2.72E-30;511.7301304;561.2664827;682.3957481;766.5046771;959.513314;1228.199973;984.7393214;585.1307871;399.6085344;1.682938829;652.6615311;717.1793593;930.1070687;696.7922352;925.1425919;814.4016407;812.1121559;766.6493197;45.46283624;1.059300693;0.629435055
gene-LOC117902005;0;4.42E-27;4260.836945;2359.823018;2340.069507;3542.115275;2060.081842;1971.146657;2524.447925;2986.909823;-462.4618983;0.845170452;4571.949335;2610.485917;2640.946409;3732.449583;1888.610999;2839.331243;2820.130608;3274.460554;-454.3299453;0.861250445;1.01902574
gene-LOC117903020;0;4.84E-26;103.5179271;60.50828252;120.5399789;218.0759786;174.8408944;236.91167;209.9428476;94.85539618;115.0874514;2.213293667;51.99168129;70.42677833;62.7374147;105.8850946;51.10108678;87.74410982;81.57676372;61.71862477;19.85813895;1.321752778;0.597188162
gene-LOC117899796;0;1.31E-20;640.6392473;826.2510303;955.3540473;799.9717827;1049.045366;1267.685251;1038.9008;807.414775;231.4860252;1.286700259;149.337808;153.7651327;142.403973;152.8502575;306.6065207;213.8230249;224.426601;148.5023046;75.92429646;1.511266789;1.174529016
gene-LOC117896252;0;7.86E-18;5963.023237;5326.815355;4595.462169;6588.701471;5750.322748;5117.499888;5818.841369;5295.100254;523.7411154;1.098910519;5378.373498;6172.90712;6168.18328;6418.00299;6409.992573;6217.905414;6348.633659;5906.487966;442.1456925;1.07485763;0.978112059
gene-LOC117901317;7.58E-151;4.85E-17;320.3196236;697.9317415;286.9050736;206.200554;475.533447;226.5208072;302.7516027;435.0521463;-132.3005435;0.695897274;188.0550174;340.3960953;148.3789649;126.3789838;371.5474851;97.11484;198.347103;225.6100259;-27.26292288;0.879159081;1.263346062
gene-LOC117893840;0;2.34E-16;127.9325326;112.670595;125.5209697;62.61587503;82.77491618;78.97055665;74.78711595;122.0413658;-47.25424984;0.612801368;74.11580099;90.38103219;50.78743094;52.08863523;72.39320627;39.18668982;54.55617711;71.76142137;-17.20524427;0.76024382;1.240603986
gene-LOC117898493;0;4.76E-16;1027.366598;1192.430464;1081.871215;1266.352093;1479.812787;1250.020785;1332.061888;1100.556092;231.5057961;1.210353473;1387.182305;1672.635985;1435.989714;1966.559458;1514.934302;1639.877781;1707.123847;1498.602668;208.5211786;1.139143739;0.941166167
gene-LOC117900137;0;8.04E-16;753.9230166;1588.864039;1585.94749;1124.926582;2174.953155;1996.084728;1765.321488;1309.578182;455.7433062;1.348007712;938.0626752;2155.059417;1636.151942;1473.852203;2134.534979;1436.277371;1681.554851;1576.424678;105.130173;1.066688992;0.791307782
gene-LOC117889790;0;8.55E-16;1300.810179;1766.215902;1875.841159;1531.92977;2011.937248;2232.996398;1925.621139;1647.622413;277.9987256;1.168727206;1893.824646;802.8652729;2064.359693;1249.273333;1075.252034;1357.052106;1227.192491;1587.016537;-359.824046;0.773270135;0.661634409
gene-LOC117903562;0;1.67E-15;777.3610378;688.5425253;662.4717846;1004.013169;853.9330638;823.9954135;893.9805486;709.4584492;184.5220994;1.260088663;1313.066504;1139.740029;1324.456532;1069.951802;1009.246464;1056.336856;1045.178374;1259.087689;-213.9093145;0.830107691;0.658769272
gene-LOC117898135;0;1.46E-14;2367.240145;2603.942641;2163.74243;2134.337671;2276.310195;1833.98727;2081.545045;2378.308406;-296.7633604;0.875220825;2750.028078;2660.958441;2769.408734;1990.468995;2827.593468;1777.88308;2198.648514;2726.798418;-528.1499035;0.80631135;0.921266185
gene-LOC117897827;0;1.49E-14;1659.216587;1954.000227;1851.932402;1896.82918;2255.194145;2147.791324;2099.938216;1821.716405;278.2218106;1.152725095;2243.385737;2281.827618;2379.042599;2671.036902;2499.694828;2394.647502;2521.793077;2301.418651;220.3744261;1.095755905;0.950578685
gene-LOC117899750;0;6.48E-13;855.4877753;856.5051716;1103.787575;999.6948324;1005.123982;1377.828396;1127.54907;938.5935073;188.955563;1.201317782;1525.458053;936.6761518;1101.390169;1122.040438;999.6650101;1099.782969;1073.829472;1187.841458;-114.0119859;0.904017506;0.752521539
gene-LOC117899528;0;7.51E-13;1717.81164;2000.946308;1748.327793;2041.493443;2243.369157;1958.677622;2081.180074;1822.361914;258.8181603;1.142023469;2240.067119;2423.854954;2665.842209;2367.898123;2499.694828;2541.171647;2469.588199;2443.254761;26.33343853;1.010778016;0.885076396
gene-LOC117900208;0;7.62E-13;5797.980505;6050.828252;6175.432471;6480.743066;6445.463116;6916.158225;6614.121469;6008.080409;606.0410595;1.100870997;6693.652414;7295.040455;7653.964593;8436.651083;7567.219267;8759.07706;8254.315803;7214.219154;1040.096649;1.144173143;1.039334442
gene-LOC117891490;0;4.51E-12;109.3774325;75.11373003;58.77569217;166.255944;151.1909183;133.0030428;150.1499684;81.08895155;69.06101683;1.85166987;73.009595;98.59748966;51.78326292;262.1510002;208.662771;91.15164807;187.3218064;74.46344919;112.8583572;2.515620865;1.358568774
