Gene;(Intercept);Generation ;Selection;Generation:Selection;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL23;meanNL23;meanWNL9DIVmeanNL9;meanWNL23DIVmeanNL23
gene-LOC117890900;0;0.661981613;0.808408998;7.12E-17;638.8398026;592.5586637;684.7243579;744.4292323;775.9315233;790.129766;765.1254961;745.8403365;809.3494471;627.5597066;612.0486478;705.1076295;648.2386613;773.4384266;770.1635072;638.7076081;0.83812575;1.205815458
gene-LOC117896958;0;6.98E-24;6.21E-22;8.04E-17;479.993149;836.4969143;397.2446657;41.01956994;17.30363726;27.13787836;528.3501737;1048.930832;716.6848002;514.1723535;535.8866721;797.7087897;615.9226051;764.6552686;28.48702852;571.2449096;0.805490566;0.049868328
gene-LOC117902337;0;1.44E-32;0.00014256;1.83E-16;979.5543639;1028.574277;957.3944903;1224.510125;1285.933464;1114.740542;1439.263095;1504.557067;1204.640409;1264.10059;1388.350231;1200.468053;1284.306291;1382.82019;1208.39471;988.5077104;0.928758706;1.222443384
gene-LOC117891014;0;1.72E-12;0.053321642;4.77E-16;513.3739675;549.3412571;529.6595542;657.8323624;672.1096998;673.2281362;729.9710814;757.7262383;763.6036087;599.4935301;686.3753951;669.4059774;651.7583009;750.4336428;667.7233995;530.7915929;0.868508904;1.257976593
gene-LOC117902204;0;7.06E-30;3.81E-25;9.28E-16;345.3188122;455.2233495;223.8856997;18.23091998;12.75004851;15.65646828;472.5166915;910.2619777;405.8476937;353.6338239;355.1166817;502.054483;403.6016629;596.2087877;15.54581225;341.4759538;0.676946854;0.04552535
gene-LOC117896790;0;5.14E-10;4.10E-09;2.39E-15;638.8398026;839.3780747;631.5841724;818.1125339;1091.950583;862.1495201;885.0640874;1091.52198;814.0413279;806.0605892;1065.350045;808.865556;893.4253968;930.2091317;924.0708789;703.2673499;0.960456489;1.313968122
gene-LOC117900499;0;0.012604917;0.08272116;6.51E-15;394.8145086;442.7383209;436.4464419;458.811486;579.2164892;598.0770884;471.4827382;615.0954169;581.7932257;414.2567652;526.7105305;481.9723037;474.3131998;556.1237936;545.3683546;424.6664238;0.852891398;1.284227629
gene-LOC117900249;0;0.06279736;0.144686222;4.56E-13;774.665202;670.3499956;730.0241882;850.0166438;782.3065476;818.311409;900.573388;893.4236169;830.4629109;783.607648;711.1509775;698.4135697;731.0573984;874.8199719;816.8782001;725.0131286;0.835666105;1.126708149
gene-LOC117895830;0;1.30E-12;0.133250864;6.83E-12;262.4422973;459.0648967;374.5947505;225.6076347;309.6440351;335.0484213;292.6088046;371.4344305;438.6908597;417.6247064;568.920782;585.7302302;524.0919062;367.5780316;290.1000304;365.3673148;1.425797684;0.793995573
gene-LOC117899222;0;7.98E-08;0.001938203;6.28E-11;1567.747407;1410.808229;1585.49406;1980.333682;1709.417217;1794.231265;1940.730481;1924.525596;1855.638877;1884.924414;1681.069149;1796.239373;1787.410979;1906.964985;1827.994055;1521.349899;0.937306659;1.201560572
gene-LOC117893414;0;0.087234727;0.000484695;7.97E-11;4135.768307;3933.744387;4316.551137;4210.582893;4245.766152;4432.868053;4650.722272;4620.644316;4534.702844;3955.085593;4071.454048;4071.104019;4032.547887;4602.023144;4296.405699;4128.687944;0.876255456;1.040622531
gene-LOC117898507;0;0.099440368;0.000791533;1.35E-10;659.5589313;785.5964132;1061.06141;708.727014;943.5035894;1038.545729;851.9775795;983.558372;1195.256647;658.9938243;778.1368116;963.9446074;800.3584144;1010.2642;896.9254443;835.4055847;0.79222684;1.073640709
gene-LOC117901294;0;3.95E-08;0.002360893;2.16E-10;608.9121722;637.696844;737.8645435;742.1503673;816.0031043;854.8431683;740.3106152;873.6137806;925.4734982;693.7958832;813.0061498;863.5337108;790.1119146;846.4659646;804.3322133;661.4911865;0.933424317;1.215937914
gene-LOC117891717;0;0.870733153;0.025767422;4.73E-10;13137.07868;9088.140413;11834.58066;16160.19131;14076.96427;14442.57011;15079.17599;12527.74047;14192.93958;13249.4806;11772.98973;11571.798;12198.08944;13933.28535;14893.2419;11353.26659;0.87546398;1.31180236
